method,model,scenario,metric,value
mean_mode,lr,internal_test,Precision,0.5627705627705628
mean_mode,lr,external_main,Precision,0.4301675977653631
mean_mode,lr,external_transfer,Precision,0.4301675977653631
mean_mode,rf,internal_train,Precision,0.8069981583793738
mean_mode,rf,internal_val,Precision,0.6003521126760564
mean_mode,rf,internal_test,Precision,0.5866013071895425
mean_mode,rf,external_main,Precision,0.4518072289156626
mean_mode,rf,external_transfer,Precision,0.4518072289156626
mean_mode,extra_trees,internal_train,Precision,0.8584229390681004
mean_mode,extra_trees,internal_val,Precision,0.5896551724137931
mean_mode,extra_trees,internal_test,Precision,0.5712050078247262
mean_mode,extra_trees,external_main,Precision,0.4426619132501485
mean_mode,extra_trees,external_transfer,Precision,0.4426619132501485
mean_mode,gb,internal_train,Precision,0.714713216957606
mean_mode,gb,internal_val,Precision,0.6361607142857143
mean_mode,gb,internal_test,Precision,0.6247422680412371
mean_mode,gb,external_main,Precision,0.4928571428571429
mean_mode,gb,external_transfer,Precision,0.4928571428571429
mean_mode,adaboost,internal_train,Precision,0.6715083798882682
mean_mode,adaboost,internal_val,Precision,0.6574307304785895
mean_mode,adaboost,internal_test,Precision,0.6496519721577726
mean_mode,adaboost,external_main,Precision,0.4824935952177626
mean_mode,adaboost,external_transfer,Precision,0.4824935952177626
mean_mode,lgb,internal_train,Precision,0.9260213470739788
mean_mode,lgb,internal_val,Precision,0.5736040609137056
mean_mode,lgb,internal_test,Precision,0.5562805872756933
mean_mode,lgb,external_main,Precision,0.4239482200647249
mean_mode,lgb,external_transfer,Precision,0.4239482200647249
mean_mode,xgb,internal_train,Precision,0.7769607843137255
mean_mode,xgb,internal_val,Precision,0.5705229793977813
mean_mode,xgb,internal_test,Precision,0.5623100303951368
mean_mode,xgb,external_main,Precision,0.4079956188389923
mean_mode,xgb,external_transfer,Precision,0.4079956188389923
mean_mode,lr,internal_train,Recall,0.6872812135355892
mean_mode,lr,internal_val,Recall,0.6606170598911071
mean_mode,lr,internal_test,Recall,0.7078039927404719
mean_mode,lr,external_main,Recall,0.4397208121827411
mean_mode,lr,external_transfer,Recall,0.4397208121827411
mean_mode,rf,internal_train,Recall,0.85219758848697
mean_mode,rf,internal_val,Recall,0.6188747731397459
mean_mode,rf,internal_test,Recall,0.6515426497277677
mean_mode,rf,external_main,Recall,0.4282994923857868
mean_mode,rf,external_transfer,Recall,0.4282994923857868
mean_mode,extra_trees,internal_train,Recall,0.9315441462465966
mean_mode,extra_trees,internal_val,Recall,0.6206896551724138
mean_mode,extra_trees,internal_test,Recall,0.662431941923775
mean_mode,extra_trees,external_main,Recall,0.4727157360406091
mean_mode,extra_trees,external_transfer,Recall,0.4727157360406091
mean_mode,gb,internal_train,Recall,0.5573706728899261
mean_mode,gb,internal_val,Recall,0.5172413793103449
mean_mode,gb,internal_test,Recall,0.5499092558983666
mean_mode,gb,external_main,Recall,0.3064720812182741
mean_mode,gb,external_transfer,Recall,0.3064720812182741
mean_mode,adaboost,internal_train,Recall,0.4675223648385842
mean_mode,adaboost,internal_val,Recall,0.4736842105263157
mean_mode,adaboost,internal_test,Recall,0.5081669691470054
mean_mode,adaboost,external_main,Recall,0.3585025380710659
mean_mode,adaboost,external_transfer,Recall,0.3585025380710659
mean_mode,lgb,internal_train,Recall,0.9786075457020614
mean_mode,lgb,internal_val,Recall,0.6152450090744102
mean_mode,lgb,internal_test,Recall,0.6188747731397459
mean_mode,lgb,external_main,Recall,0.4156091370558376
mean_mode,lgb,external_transfer,Recall,0.4156091370558376
mean_mode,xgb,internal_train,Recall,0.8630882924931933
mean_mode,xgb,internal_val,Recall,0.6533575317604355
mean_mode,xgb,internal_test,Recall,0.6715063520871143
mean_mode,xgb,external_main,Recall,0.4727157360406091
mean_mode,xgb,external_transfer,Recall,0.4727157360406091
mean_mode,lr,internal_train,Specificity,0.7037835249042146
mean_mode,lr,internal_val,Specificity,0.7027932960893855
mean_mode,lr,internal_test,Specificity,0.6614525139664804
mean_mode,lr,external_main,Specificity,0.7673003802281368
mean_mode,lr,external_transfer,Specificity,0.7673003802281368
mean_mode,rf,internal_train,Specificity,0.8745210727969349
mean_mode,rf,internal_val,Specificity,0.7463687150837989
mean_mode,rf,internal_test,Specificity,0.71731843575419
mean_mode,rf,external_main,Specificity,0.7923954372623574
mean_mode,rf,external_transfer,Specificity,0.7923954372623574
mean_mode,extra_trees,internal_train,Specificity,0.905411877394636
mean_mode,extra_trees,internal_val,Specificity,0.7340782122905027
mean_mode,extra_trees,internal_test,Specificity,0.693854748603352
mean_mode,extra_trees,external_main,Specificity,0.7622306717363752
mean_mode,extra_trees,external_transfer,Specificity,0.7622306717363752
mean_mode,gb,internal_train,Specificity,0.8630268199233716
mean_mode,gb,internal_val,Specificity,0.8178770949720671
mean_mode,gb,internal_test,Specificity,0.7966480446927374
mean_mode,gb,external_main,Specificity,0.8740177439797212
mean_mode,gb,external_transfer,Specificity,0.8740177439797212
mean_mode,adaboost,internal_train,Specificity,0.8591954022988506
mean_mode,adaboost,internal_val,Specificity,0.8480446927374302
mean_mode,adaboost,internal_test,Specificity,0.8312849162011173
mean_mode,adaboost,external_main,Specificity,0.8463878326996198
mean_mode,adaboost,external_transfer,Specificity,0.8463878326996198
mean_mode,lgb,internal_train,Specificity,0.951867816091954
mean_mode,lgb,internal_val,Specificity,0.7184357541899441
mean_mode,lgb,internal_test,Specificity,0.6960893854748603
mean_mode,lgb,external_main,Specificity,0.7743979721166033
mean_mode,lgb,external_transfer,Specificity,0.7743979721166033
mean_mode,xgb,internal_train,Specificity,0.8474616858237548
mean_mode,xgb,internal_val,Specificity,0.6972067039106146
mean_mode,xgb,internal_test,Specificity,0.6782122905027933
mean_mode,xgb,external_main,Specificity,0.7259822560202789
mean_mode,xgb,external_transfer,Specificity,0.7259822560202789
mean_mode,lr,internal_train,AUPRC,0.6636723606397636
mean_mode,lr,internal_val,AUPRC,0.6441532552817232
mean_mode,lr,internal_test,AUPRC,0.6599447243877465
mean_mode,lr,external_main,AUPRC,0.4591863436889717
mean_mode,lr,external_transfer,AUPRC,0.4591863436889717
mean_mode,rf,internal_train,AUPRC,0.9268599811921996
mean_mode,rf,internal_val,AUPRC,0.6231052424862018
mean_mode,rf,internal_test,AUPRC,0.6546863329644548
mean_mode,rf,external_main,AUPRC,0.468440827586874
mean_mode,rf,external_transfer,AUPRC,0.468440827586874
mean_mode,extra_trees,internal_train,AUPRC,0.9698330306197268
mean_mode,extra_trees,internal_val,AUPRC,0.6283722521303365
