comparable_itearn,pred,ci_lo,ci_hi,P_overall,P_nonlin
2758.3963969849246,0.36045848453744705,0.0,1.0,1.0191575694484811e-07,1.0
2799.5664924623115,0.35973615811757054,0.0,1.0,1.0191575694484811e-07,1.0
2840.7365879396984,0.35907482102647126,0.0,1.0,1.0191575694484811e-07,1.0
2881.906683417086,0.3583442845253435,0.0,1.0,1.0191575694484811e-07,1.0
2923.0767788944727,0.3576902116718625,0.0,1.0,1.0191575694484811e-07,1.0
2964.2468743718596,0.3568886874407903,0.0,1.0,1.0191575694484811e-07,1.0
3005.4169698492465,0.35616318868422375,0.0,1.0,1.0191575694484811e-07,1.0
3046.5870653266334,0.3553273651913664,0.0,1.0,1.0191575694484811e-07,1.0
3087.7571608040203,0.35459717910557015,0.0,1.0,1.0191575694484811e-07,1.0
3128.927256281407,0.3537403371866448,0.0,1.0,1.0191575694484811e-07,1.0
3170.097351758794,0.35292624821233687,0.0,1.0,1.0191575694484811e-07,1.0
3211.267447236181,0.3520816838022503,0.0,1.0,1.0191575694484811e-07,1.0
3252.437542713568,0.3511997971581132,0.0,1.0,1.0191575694484811e-07,1.0
3293.607638190955,0.35034149886053345,0.0,1.0,1.0191575694484811e-07,1.0
3334.777733668342,0.3494668234174721,0.0,1.0,1.0191575694484811e-07,1.0
3375.947829145729,0.3485377235488847,0.0,1.0,1.0191575694484811e-07,1.0
3417.117924623116,0.3476409176672121,0.0,1.0,1.0191575694484811e-07,1.0
3458.2880201005028,0.3466691561312887,0.0,1.0,1.0191575694484811e-07,1.0
3499.4581155778897,0.3456676095408192,0.0,1.0,1.0191575694484811e-07,1.0
3540.6282110552766,0.34467776964732,0.0,1.0,1.0191575694484811e-07,1.0
3581.7983065326634,0.3436996011210608,0.0,1.0,1.0191575694484811e-07,1.0
3622.9684020100503,0.3426574519309653,0.0,1.0,1.0191575694484811e-07,1.0
3664.1384974874372,0.34160652217248544,0.0,1.0,1.0191575694484811e-07,1.0
3705.308592964824,0.340546865443999,0.0,1.0,1.0191575694484811e-07,1.0
3746.4786884422115,0.33947169319807174,0.0,1.0,1.0191575694484811e-07,1.0
3787.6487839195984,0.33840500603549845,0.0,1.0,1.0191575694484811e-07,1.0
3828.8188793969853,0.33728538539332326,0.0,1.0,1.0191575694484811e-07,1.0
3869.988974874372,0.33612672643248737,0.0,1.0,1.0191575694484811e-07,1.0
3911.159070351759,0.3350040280282704,0.0,1.0,1.0191575694484811e-07,1.0
